name,amount,price,dosage_form,manufacturer,barcode
Келикс,1,33981.60,"концентрат для приготовления раствора для внутривенного введения 2 мг/мл, 1 шт., 10 мл - флаконы - пачки картонные","Вл., Уп. - Шеринг-Плау Лабо Н.В. - Бельгия; Пр. - Бен Венью Лабораторис Инк - США",4602210001288
Цитофлавин,10,672.26,"раствор для внутривенного введения, 10 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ООО ""Научно-технологическая фармацевтическая фирма ""ПОЛИСАН"" - Россия",4603191000239
Аспаркам,50,6.87,"таблетки, 50 шт. - упаковки ячейковые контурные - пачки картонные","ООО ""Фармацевтическая компания ""Здоровье"" - Украина",4820044110826
Алостин,2,1900.79,"спрей назальный дозированный 200 МЕ/доза, 14 доз, 2 мл - флаконы с дозирующим устройством (2) - пачки картонные",Вл. - Генфа Медика С.А. - Швейцария; Пр. - Апотекс Инк - Канада,4607159610089
Карботера,1,1302.08,"лиофилизат для приготовления раствора для инфузий 450 мг, 1 шт. - флаконы - пачки картонные",Вл. - Лаборатория Тютор С.А.С.И.Ф.И.А. - Аргентина; Пр. - Лаборатория ИМА С.А.И.С. - Аргентина,7793397025321
БиКНУ,1,904.72,лиофилизат для приготовления раствора для инфузий 100 мг - флаконы темного стекла /в комплекте с растворителем: этанол (ампулы) 3 мл/ - коробки картонные,Бристол-Майерс Сквибб С.р.Л. - Италия,4602505007087
Ко-тримоксазол,10,5.21,"таблетки 480 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные","ОАО ""Фармстандарт-Лексредства"" - Россия",4601669001856
Эскапел,1,222.60,"таблетки 1.5 мг, 1 шт. - упаковки ячейковые контурные - пачки картонные","Вл. - ОАО ""Гедеон Рихтер"" - Венгрия; Пр. - Гедеон Рихтер А.О. - Венгрия",5997001360484
Лидокаина гидрохлорид,10,12.80,"раствор для инъекций 20 мг/мл (в РУ - 2%), 2 мл - ампулы (10) - упаковки ячейковые контурные /в комплекте с ножом ампульным или скарификатором/ - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884001935
Магния сульфат,10,23.54,"раствор для внутривенного введения 250 мг/мл, 10 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - коробки картонные","ОАО ""Биосинтез"" - Россия",4602884003120
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086181985
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182036
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182241
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182296
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [абрикосовый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182340
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086181947
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086181992
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [апельсиновый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182302
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086181923
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [банановый] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182333
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086181954
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182005
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182050
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [виноградный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182265
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/бумага (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182012
Реалаксан,10,84.65,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (10) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182227
Реалаксан,20,167.76,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (20) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182272
Реалаксан,6,50.79,"порошок для приготовления раствора для приема внутрь [яблочный] 10 г, 1 шт. - саше алюминий/полиэтилен/полистер (6) - пачки картонные",Юник Фармасьютикал Лабораториз (Отделение фирмы Дж.Б.Кемикалс энд Фармасьютикалс Лтд) - Индия,8901086182326
Маннитол,1,75.60,"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей","ОАО ""Научно-производственный концерн ""ЭСКОМ"" - Россия",4605453002104
Маннитол,28,2116.80,"раствор для внутривенного введения 150 мг/мл, 200 мл - бутылки для крови и кровезаменителей (28) - коробки картонные","ОАО ""Научно-производственный концерн ""ЭСКОМ"" - Россия",24605453000531
Меронем,10,7032.70,лиофилизат для приготовления раствора для внутривенного введения 500 мг - флаконы (10) - пачки картонные,Вл. - АстраЗенека ЮК Лимитед - Великобритания; Пр. - Сумитомо Фармасьютикал Ко.Лтд - Япония,5000455007178
Меропенем-Виал,1,1300.54,порошок для приготовления раствора для внутривенного введения 1000 мг - флаконы - пачки картонные,"Вл. - ООО ""Виал"" - Россия; Пр. - СиЭсПиСи Чжунно Фармасьютикал (Шицзячжуан) Ко., Лтд - Китай; Уп. - ООО ""Озон"" - Россия",4607027763558
Адвантан,1,282.42,"крем для наружного применения 0.1%, 15 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия,4260085520282
Адвантан,1,281.79,"мазь для наружного применения 0.1%, 15 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия,4260085520268
Адвантан,1,282.37,"мазь для наружного применения [жирная] 0.1%, 15 г - тубы алюминиевые - пачки картонные",Вл. - Интендис ГмбХ - Германия; Пр. - Интендис Мануфэкчуринг С.п.А. - Италия,4260085520251
Метоклопрамид,10,36.31,"раствор для внутривенного и внутримышечного введения 5 мг/мл, 1 шт., 2 мл - ампулы (5) - упаковки ячейковые контурные (2) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ФГУП ""Московский эндокринный завод"" - Россия",4602676006063
Метоклопрамид,10,36.31,"раствор для внутривенного и внутримышечного введения 5 мг/мл (в РУ - 0.5%), 2 мл - ампулы (5) - упаковки контурные пластиковые (поддоны) (2) /в комплекте с ножом ампульным/ - пачки картонные","ФГУП ""Московский эндокринный завод"" - Россия",4602676003369
Метотрексат,20,75.60,"таблетки покрытые пленочной оболочкой 2.5 мг, 10 шт. - упаковки ячейковые контурные (2) - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005895486
Метронидазол Никомед,1,86.88,"раствор для инфузий 5 мг/мл, 100 мл - флаконы - пачки картонные",Вл. - Никомед Дания АпС - Дания; Пр. - Никомед Австрия ГмбХ - Австрия,5702589921077
Моксогамма,30,182.44,"таблетки покрытые пленочной оболочкой 0.2 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные",Вл. - Верваг Фарма ГмбХ и Ко.КГ - Германия; Пр. - Артезан Фарма ГмбХ и Ко.КГ - Германия,4030674002440
Вирасепт,1,1554.65,"порошок для приема внутрь 50 мг/г, 144 г - флаконы полиэтиленовые /в комплекте с ложкой мерной/ - пачки картонные",Ф.Хоффманн-Ля Рош Лтд - Швейцария,4601907000818
Вирасепт,300,11294.65,"таблетки покрытые оболочкой 250 мг, 300 шт. - флаконы полиэтиленовые - пачки картонные",Вл. - Ф.Хоффманн-Ля Рош Лтд - Швейцария; Пр. - Рош Фарма С.А. - Испания,4601907001242
Вирасепт,300,11294.65,"таблетки покрытые оболочкой 250 мг, 300 шт. - флаконы полиэтиленовые - пачки картонные",Ф.Хоффманн-Ля Рош Лтд - Швейцария,4601907000801
Кордафен,50,40.44,"таблетки покрытые пленочной оболочкой 10 мг, 25 шт. - упаковки ячейковые контурные (2) - пачки картонные","Фармацевтический завод ""Польфарма"" АО - Польша",5903060004818
Фенигидин,50,4.47,"таблетки 10 мг, 50 шт. - банки - пачки картонные","ООО ""Фармацевтическая компания ""Здоровье"" - Украина",4820044110390
Пирантел,3,7.39,"таблетки 250 мг, 3 шт. - упаковки безъячейковые контурные - пачки картонные",Марвел ЛайфСайнсез Пвт.Лтд - Индия,8901812220018
Пиридоксин,10,17.71,"раствор для инъекций 50 мг/мл, 1 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884004493
Пиридоксин-Виал,10,21.30,"раствор для инъекций 50 мг/мл, 1 мл - ампулы (10) - упаковки контурные пластиковые (поддоны) - пачки картонные","Вл. - ООО ""Виал"" - Россия; Пр. - Си Эс Пи Си Оуи Фармасьютикал Ко.Лтд - Китай; Уп. - ООО ""Озон"" - Россия",4607027763480
Новокаин,10,23.76,"раствор для инъекций 0.5%, 10 мл - ампулы (10) - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884003137
Новокаин,10,7.88,"раствор для инъекций 2%, 2 мл - ампулы (10) - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884012122
Анаприлин,50,6.70,"таблетки 10 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884001799
Ретинола ацетат,10,2.15,"капсулы 33 тыс.МЕ, 10 шт. - упаковки ячейковые контурные","РУП ""Белмедпрепараты"" - Республика Беларусь",4810133000602
Авандия,28,2192.74,"таблетки покрытые пленочной оболочкой 8 мг, 14 шт. - упаковки ячейковые контурные (2) - пачки картонные","Вл. - ЗАО ""ГлаксоСмитКляйн Трейдинг"" - Россия; Пр. - Глаксо Вэллком С.А. - Испания; Уп. - Глаксо Вэллком Продакшен - Франция",4602233001999
Сальгим,1,87.61,"порошок для ингаляций дозированный 0.25 мг/доза, 200 доз, 2 г - ингаляторы дозирующие ""Циклохалер"" - пакеты полиэтиленовые - пачки картонные","ЗАО ""Пульмомед"" - Россия",4603466000124
Сальгим,10,130.09,"раствор для ингаляций 1 мг/мл, 5 мл - флаконы (10) - пачки картонные","ЗАО ""Пульмомед"" - Россия",4603466000315
Зерит,56,2713.67,"капсулы 40 мг, 14 шт. - упаковки ячейковые контурные (4) - пачки картонные",Бристол-Майерс Сквибб - Франция,4602505001177
Транексам,10,149.29,"таблетки покрытые пленочной оболочкой 250 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные","Вл. - ООО ""Мир-Фарм"" - Россия; Пр. - ЗАО ""Обнинская химико-фармацевтическая компания"" - Россия",4607024942321
Урсодезоксихолевая кислота,10,118.80,"капсулы 250 мг, 10 шт. - банки полимерные - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005899491
Урсодезоксихолевая кислота,50,594.00,"капсулы 250 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005899477
Урсодезоксихолевая кислота,50,590.76,"капсулы 250 мг, 50 шт. - флаконы полимерные - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005899521
Флуцином,100,1542.52,"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (10) - пачки картонные",Шеринг-Плау Лабо Н.В. - Бельгия,4602210000328
Цефтриаксон-Виал,1,24.61,порошок для приготовления раствора для внутривенного и внутримышечного введения 1 г - флаконы - пачки картонные,"Вл. - ООО ""Виал"" - Россия; Пр. - Северная Китайская Фармацевтическая Корпорация Лтд - Китай; Уп. - ООО ""Озон"" - Россия",4607027763466
Цианокобаламин-Виал,10,16.88,"раствор для инъекций 0.2 мг/мл, 1 мл - ампулы (10) - упаковки ячейковые контурные - пачки картонные","Вл. - ООО ""Виал"" - Россия; Пр. - Си Эс Пи Си Оуи Фармасьютикал Ко.Лтд - Китай; Уп. - ООО ""Озон"" - Россия",4607027763510
Циклофосфан,1,18.36,порошок для приготовления раствора для внутривенного и внутримышечного введения 200 мг - флаконы - пачки картонные,"ООО ""Компания ""Деко"" - Россия",4605391001047
Ципробай,1,528.72,"раствор для инфузий 2 мг/мл, 100 мл - флаконы - пачки картонные",Байер Хелскэр АГ - Германия,4008500127100
Эналаприл,20,53.95,"таблетки 20 мг, 10 шт. - упаковки безъячейковые контурные (2) - пачки картонные",Ранбакси Лабораториз Лимитед - Индия,4601764005223
Этамзилат,10,17.16,"раствор для инъекций 125 мг/мл, 2 мл - ампулы (10) /в комплекте с ножом ампульным или скарификатором, если необходим для ампул данного типа/ - пачки картонные","ОАО ""Биосинтез"" - Россия",4602884005155
Изоптин,5,93.68,"раствор для внутривенного введения 2.5 мг/мл, 2 мл - ампулы (5) - поддоны картонные (1) или блистеры из ПВХ или полистирола (1) - пачки картонные.","Вл.-Эбботт ГмбХ и Ко.КГ Германия;Пр.,Перв.Уп.-Эбеве Фарма Гес.м.б.Х. Нфг КГ Австрия;Втор.Уп.-Эбеве Фарма Гес.м.б.Х. Нфг КГ Австрия
;Вып.к.-Эбботт ГмбХ и Ко.КГ Германия.",8002660000583
Алостин,1,1338.00,"спрей назальный дозированный 200 МЕ/доза, 14 доз, 2 мл - флаконы с дозирующим устройством (1) - пачки картонные","Вл.-Генфа Медика С.А. Швейцария;Пр.,Перв.Уп.-Апотекс Инк Канада;Втор.Уп.,Вып.к.-Биотэк МФПДК ЗАО Россия.",4606915001147
Вепрена,1,1330.00,спрей назальный дозированный 200 МЕ/доза-флакон с дозирующим устройством 2 мл (14 доз) (1) - пачка картонная,Натива ООО Россия,4630008130018
Вепрена,2,1900.00,спрей назальный дозированный 200 МЕ/доза-флакон с дозирующим устройством 2 мл (14 доз) (2) - пачка картонная,Натива ООО Россия,4630008130025
Зерит,56,2713.67,"капсулы 40 мг, 14 шт. - упаковки ячейковые контурные (4) - пачки картонные","Вл.-Бристол-Майерс Сквибб Компани США;Пр.-Эмкюр Фармасьютикалз Инк. США;Перв.Уп.,Втор.Уп.,Вып.к.-Бристол-Майерс Сквибб С.р.Л. Италия.",4602505007377
Гонадотропин хорионический,5,461.52,"лиофилизат для приготовления раствора для внутримышечного введения 1,5 тыс.ЕД - флаконы 5 мл (5) - упаковки ячейковые контурные /в комплекте с растворителем: натрия хлорида раствор 0,9% (ампулы) 1мл-5шт./ - пачки картонные",Московский эндокринный завод ФГУП Россия,4602676004502
Уголь активированный,20,11.32,"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (пвх/ал.фольга) (2) -пачка картонная","ЗАО ""Производственная фармацевтическая компания Обновление"" - Россия",4603988011851
Уголь активированный,30,16.98,"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (пвх/ал.фольга) (3) -пачка картонная","ЗАО ""Производственная фармацевтическая компания Обновление"" - Россия",4603988011875
Уголь активированный,30,16.98,"таблетки 250 мг, 10 шт. - упаковки ячейковые контурные (пвх/бумага) (3) -пачка картонная","ЗАО ""Производственная фармацевтическая компания Обновление"" - Россия",4603988011868
Транексам,50,1055.00,"таблетки покрытые пленочной оболочкой 500 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","ООО ""Мир-Фарм"" - Россия;Пр.,Перв.Уп.,Втор.Уп.,Вып.к.-ЗАО ""Обнинская химико-фармацевтическая компания"" - Россия.",4607024944349
Транексам,10,240.00,"таблетки покрытые пленочной оболочкой 500 мг, 10 шт. - упаковки ячейковые контурные - пачки картонные","ООО ""Мир-Фарм"" - Россия;Пр.,Перв.Уп.,Втор.Уп.,Вып.к.-ЗАО ""Обнинская химико-фармацевтическая компания"" - Россия.",4607024944318
Симвастатин,30,96.35,"таблетки покрытые пленочной оболочкой 10 мг, 10 шт. - упаковки ячейковые контурные (3) - пачки картонные","ЗАО ""Северная звезда"" - Россия",4607005895165
Луналдин,10,4595.10,"таблетки подъязычные 0,2мг 10шт. - упаковки ячейковые контурные - пачки картонные","ОАО ""Гедеон Рихтер"" - Венгрия;Пр.,Перв.Уп.-""Ресифарм АБ"" - Швеция;Втор.Уп.,Вып.к.-ОАО ""Гедеон Рихтер"" - Венгрия.",5997001362402
Луналдин,10,5024.17,"таблетки подъязычные 0,3 мг, 10шт. - упаковки ячейковые контурные - пачки картонные","ОАО ""Гедеон Рихтер"" - Венгрия;Пр.,Перв.Уп.-""Ресифарм АБ"" - Швеция;Втор.Уп.,Вып.к.-ОАО ""Гедеон Рихтер"" - Венгрия.",5997001362686
Эскинор-Ф,2,180.00,"таблетки 0,75 мг, 2 шт. - блистеры - пачки картонные",Фами Кэр Лимитед - Индия,8906014911481
Девирс,1,433.97,"крем для наружного применения 7,5 %, 15 г - тубы алюминиевые - пачки картонные","ЗАО ""Вертекс"" - Россия",4607003244170
Бенарин,1,350.00,"капли назальные 0.05%, 5 мл - флаконы-капельницы - пачки картонные","ЗАО ""Пульмомед"" - Россия",4603466000520
Лидокаин,10,16.70,раствор для инъекций 20 мг/мл 2 мл - ампулы (10) в комплекте с ножом ампульным или скарификатором - коробка картонная,"ОАО ""Биосинтез"" - Россия",4602884013617
Нормитон,30,360.00,"таблетки покрытые пленочной оболочкой 5 мг, 10 шт. - блистеры (3) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602755
Нормитон,30,472.00,"таблетки покрытые пленочной оболочкой 10 мг, 10 шт. - блистеры (3) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602762
Нормитон,30,600.00,"таблетки покрытые пленочной оболочкой 15 мг, 6 шт. - блистеры (5) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602731
Нормитон,30,720.00,"таблетки покрытые пленочной оболочкой 20 мг, 10 шт. - блистеры (3) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602786
Нормитон,30,720.00,"таблетки покрытые пленочной оболочкой 20 мг, 6 шт. - блистеры (5) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602748
Нормитон,30,600.00,"таблетки покрытые пленочной оболочкой 15 мг, 10 шт. - блистеры (3) - пачки картонные","Фармацевтический завод ""ПОЛЬФАРМА"" АО - Республика Польша",5903060602779
Рифампицин-Бинергия,10,1064.36,лиофилизат для приготовления раствора для инфузий 300 мг - флаконы (10) - коробки картонные,"ЗАО ""Бинергия"" - Россия;Пр.,Перв.Уп.,Втор.Уп.,Вып.к.-ЗАО ""Рафарма"" - Россия.",4660007810369
Рифампицин-Бинергия,10,2128.72,лиофилизат для приготовления раствора для инфузий 600 мг - флаконы (10) - коробки картонные,"ЗАО ""Бинергия"" - Россия;Пр.,Перв.Уп.,Втор.Уп.,Вып.к.-ЗАО ""Рафарма"" - Россия.",4660007810383
Уголь активированный Экстрасорб,50,195.55,"капсулы 250 мг, 10 шт. - упаковки ячейковые контурные (5) - пачки картонные","Общество с ограниченной ответственностью ""Кировская Фармацевтическая Компания"" (ООО ""КФК"") - Россия",4670009600226
Уголь активированный Экстрасорб,10,66.40,"капсулы 250 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные","Общество с ограниченной ответственностью ""Кировская Фармацевтическая Компания"" (ООО ""КФК"") - Россия",4670009600219
Уголь активированный Экстрасорб,10,57.20,"капсулы 220 мг, 10 шт. - упаковки ячейковые контурные (1) - пачки картонные","Общество с ограниченной ответственностью ""Кировская Фармацевтическая Компания"" (ООО ""КФК"") - Россия",4670009600240
Калия хлорид,10,37.75,"концентрат для приготовления раствора для инфузий 40 мг/мл, 5 мл - ампулы (10) /в комплекте с ножом для вскрытия ампул или скарификатором ампульным/ - коробки картонные","ОАО ""Дальхимфарм"" - Россия",4602824020965
Лактулоза,1,1100.00,"сироп 667 мг/мл, 1000 мл - флаконы (1) /в комплекте с мерным стаканчиком/ - пачки картонные","ОАО ""АВВА РУС"" - Россия",4607003669638
Бетасерк,30,172.80,"таблетки 8 мг, 30 шт. - упаковки ячейковые контурные - пачки картонные","Эбботт Хелскеа Продактс Б.В. - Нидерланды;Пр.,Перв.Уп.-Эбботт Хелскеа САС - Франция;Втор.Уп.,Вып.к.-ОАО ""ВЕРОФАРМ"" - Россия.",4620011581471
